disease,symptom
Bulimia nervosa,"Fasting, restricting calories or avoiding certain foods between binges"
Bulimia nervosa,Using dietary supplements or herbal products excessively for weight loss
Bundle branch block,Heart attack (myocardial infarction)
Bundle branch block,High blood pressure (hypertension)
Bundle branch block,Infection of the heart muscle by bacteria or virus (myocarditis)
Bundle branch block,"Thickened, stiffened or weakened heart muscle (cardiomyopathy)"
Bunions,A bulging bump on the outside of the base of your big toe
Bunions,"Swelling, redness or soreness around your big toe joint"
Bunions,Corns or calluses — these often develop where the first and second toes rub against each other
Bunions,Ongoing pain or pain that comes and goes
Bunions,Limited movement of your big toe
C. difficile infection,Watery diarrhea three or more times a day for more than one day
C. difficile infection,Mild abdominal cramping and tenderness
Corns and calluses,"A thick, rough area of skin"
Corns and calluses,"A hardened, raised bump"
Corns and calluses,Tenderness or pain under your skin
Corns and calluses,"Flaky, dry or waxy skin"
Corns and calluses,"Corns are smaller than calluses and have a hard center surrounded by inflamed skin. Corns tend to develop on parts of your feet that don't bear weight, such as the tops and sides of your toes and even between your toes. They can also be found in weight-bearing areas. Corns can be painful when pressed."
Corns and calluses,"Calluses are rarely painful. They usually develop on the soles of your feet, especially under the heels or balls, on your palms, or on your knees. Calluses vary in size and shape and are often larger than corns."
Cancer,Fatigue
Cancer,Lump or area of thickening that can be felt under the skin
Cancer,"Weight changes, including unintended loss or gain"
Cancer,"Skin changes, such as yellowing, darkening or redness of the skin, sores that won't heal, or changes to existing moles"
Cancer,Changes in bowel or bladder habits
Cancer,Persistent cough or trouble breathing
Cancer,Difficulty swallowing
Cancer,Hoarseness
Cancer,Persistent indigestion or discomfort after eating
Cancer,"Persistent, unexplained muscle or joint pain"
Cancer,"Persistent, unexplained fevers or night sweats"
Cancer,Unexplained bleeding or bruising
Carcinoid tumors,Chest pain
Carcinoid tumors,Wheezing
Carcinoid tumors,Shortness of breath
Carcinoid tumors,Diarrhea
Carcinoid tumors,Redness or a feeling of warmth in your face and neck (skin flushing)
Carcinoid tumors,"Weight gain, particularly around the midsection and upper back"
Carcinoid tumors,Pink or purple marks on the skin that look like stretch marks
Cervical cancer,"Vaginal bleeding after intercourse, between periods or after menopause"
Cervical cancer,"Watery, bloody vaginal discharge that may be heavy and have a foul odor"
Cervical cancer,Pelvic pain or pain during intercourse
Chronic lymphocytic leukemia,"Enlarged, but painless, lymph nodes"
Chronic lymphocytic leukemia,Fatigue
Chronic lymphocytic leukemia,Fever
Chronic lymphocytic leukemia,"Pain in the upper left portion of the abdomen, which may be caused by an enlarged spleen"
Chronic lymphocytic leukemia,Night sweats
Chronic lymphocytic leukemia,Weight loss
Chronic lymphocytic leukemia,Frequent infections
Chronic myelogenous leukemia,Bone pain
Chronic myelogenous leukemia,Easy bleeding
Chronic myelogenous leukemia,Feeling full after eating a small amount of food
Chronic myelogenous leukemia,Feeling run-down or tired
Chronic myelogenous leukemia,Fever
Chronic myelogenous leukemia,Weight loss without trying
Chronic myelogenous leukemia,Loss of appetite
Chronic myelogenous leukemia,Pain or fullness below the ribs on the left side
Chronic myelogenous leukemia,Excessive sweating during sleep (night sweats)
Colon cancer,"A persistent change in your bowel habits, including diarrhea or constipation or a change in the consistency of your stool"
Colon cancer,Rectal bleeding or blood in your stool
Colon cancer,"Persistent abdominal discomfort, such as cramps, gas or pain"
Colon cancer,A feeling that your bowel doesn't empty completely
Colon cancer,Weakness or fatigue
Colon cancer,Unexplained weight loss
Endometrial cancer,Vaginal bleeding after menopause
Endometrial cancer,Bleeding between periods
Endometrial cancer,Pelvic pain
Esophageal cancer,Difficulty swallowing (dysphagia)
Esophageal cancer,Weight loss without trying
Esophageal cancer,"Chest pain, pressure or burning"
Esophageal cancer,Worsening indigestion or heartburn
Esophageal cancer,Coughing or hoarseness
Eye melanoma,A sensation of flashes or specks of dust in your vision (floaters)
Eye melanoma,A growing dark spot on the iris
Eye melanoma,A change in the shape of the dark circle (pupil) at the center of your eye
Eye melanoma,Poor or blurry vision in one eye
Eye melanoma,Loss of peripheral vision
Gallbladder cancer,"Abdominal pain, particularly in the upper right portion of the abdomen"
Gallbladder cancer,Abdominal bloating
Gallbladder cancer,Losing weight without trying
Gallbladder cancer,Yellowing of the skin and whites of the eyes (jaundice)
Stomach cancer,Difficulty swallowing
Stomach cancer,Feeling bloated after eating
Stomach cancer,Feeling full after eating small amounts of food
Stomach cancer,Heartburn
Stomach cancer,Indigestion
Stomach cancer,Nausea
Stomach cancer,Stomach pain
Stomach cancer,Unintentional weight loss
Stomach cancer,Vomiting
Hairy cell leukemia,A feeling of fullness in your abdomen that may make it uncomfortable to eat more than a little at a time
Hairy cell leukemia,Fatigue
Hairy cell leukemia,Easy bruising
Hairy cell leukemia,Recurring infections
Hairy cell leukemia,Weakness
Hairy cell leukemia,Weight loss
Hodgkin's lymphoma (Hodgkin's disease),"Painless swelling of lymph nodes in your neck, armpits or groin"
Hodgkin's lymphoma (Hodgkin's disease),Persistent fatigue
Hodgkin's lymphoma (Hodgkin's disease),Fever
Hodgkin's lymphoma (Hodgkin's disease),Night sweats
Hodgkin's lymphoma (Hodgkin's disease),Unexplained weight loss
Hodgkin's lymphoma (Hodgkin's disease),Severe itching
Hodgkin's lymphoma (Hodgkin's disease),Increased sensitivity to the effects of alcohol or pain in your lymph nodes after drinking alcohol
Hurthle cell cancer,"A lump in your neck, just below your Adam's apple"
Hurthle cell cancer,Pain in your neck or throat
Hurthle cell cancer,Hoarseness or other changes in your voice
Hurthle cell cancer,Shortness of breath
Hurthle cell cancer,Swallowing difficulty
Kidney cancer,"Blood in your urine, which may appear pink, red or cola colored"
Kidney cancer,Pain in your back or side that doesn't go away
Kidney cancer,Loss of appetite
Kidney cancer,Unexplained weight loss
Kidney cancer,Tiredness
Kidney cancer,Fever
Leukemia,Fever or chills
Leukemia,"Persistent fatigue, weakness"
Leukemia,Frequent or severe infections
Leukemia,Losing weight without trying
Leukemia,"Swollen lymph nodes, enlarged liver or spleen"
Leukemia,Easy bleeding or bruising
Leukemia,Recurrent nosebleeds
Leukemia,Tiny red spots in your skin (petechiae)
Leukemia,"Excessive sweating, especially at night"
Leukemia,Bone pain or tenderness
Mouth cancer,A lip or mouth sore that doesn't heal
Mouth cancer,A white or reddish patch on the inside of your mouth
Mouth cancer,Loose teeth
Mouth cancer,A growth or lump inside your mouth
Mouth cancer,Mouth pain
Mouth cancer,Ear pain
Mouth cancer,Difficult or painful swallowing
Liver cancer,Losing weight without trying
Liver cancer,Loss of appetite
Liver cancer,Upper abdominal pain
Liver cancer,Nausea and vomiting
Liver cancer,General weakness and fatigue
Liver cancer,Abdominal swelling
Liver cancer,Yellow discoloration of your skin and the whites of your eyes (jaundice)
Liver cancer,"White, chalky stools"
Lung cancer,A new cough that doesn't go away
Lung cancer,"Coughing up blood, even a small amount"
Lung cancer,Shortness of breath
Lung cancer,Chest pain
Lung cancer,Hoarseness
Lung cancer,Losing weight without trying
Lung cancer,Bone pain
Lung cancer,Headache
Merkel cell carcinoma,"Excessive exposure to natural or artificial sunlight. Being exposed to ultraviolet light, such as the light that comes from the sun or from tanning beds, increases your risk of Merkel cell carcinoma. The majority of Merkel cell carcinomas appear on skin surfaces frequently exposed to sun."
Merkel cell carcinoma,"A weakened immune system. People with weakened immune systems — including those with HIV infection, those taking drugs that suppress the immune response or those with chronic leukemias — are more likely to develop Merkel cell carcinoma."
Merkel cell carcinoma,"History of other skin cancers. Merkel cell carcinoma is associated with the development of other skin cancers, such as basal cell or squamous cell carcinoma."
Merkel cell carcinoma,"Older age. Your risk of Merkel cell carcinoma increases as you age. This cancer is most common in people older than age 50, though it can occur at any age."
Merkel cell carcinoma,Light skin color. Merkel cell carcinoma usually arises in people who have light-colored skin. Whites are much more likely to be affected by this skin cancer than are blacks.
Mesothelioma,Chest pain
Mesothelioma,Painful coughing
Mesothelioma,Shortness of breath
Mesothelioma,Unusual lumps of tissue under the skin on your chest
Mesothelioma,Unexplained weight loss
Mesothelioma,Abdominal pain
Mesothelioma,Abdominal swelling
Mesothelioma,Nausea
Mesothelioma,Unexplained weight loss
Multiple myeloma,"Bone pain, especially in your spine or chest"
Multiple myeloma,Nausea
Multiple myeloma,Constipation
Multiple myeloma,Loss of appetite
Multiple myeloma,Mental fogginess or confusion
Multiple myeloma,Fatigue
Multiple myeloma,Frequent infections
Multiple myeloma,Weight loss
Multiple myeloma,Weakness or numbness in your legs
Multiple myeloma,Excessive thirst
Nasopharyngeal carcinoma,A lump in your neck caused by a swollen lymph node
Nasopharyngeal carcinoma,Blood in your saliva
Nasopharyngeal carcinoma,Bloody discharge from your nose
Nasopharyngeal carcinoma,Nasal congestion or ringing in your ears
Nasopharyngeal carcinoma,Hearing loss
Nasopharyngeal carcinoma,Frequent ear infections
Nasopharyngeal carcinoma,Sore throat
Nasopharyngeal carcinoma,Headaches
Neuroblastoma,Abdominal pain
Neuroblastoma,A mass under the skin that isn't tender when touched
Neuroblastoma,"Changes in bowel habits, such as diarrhea or constipation"
Neuroblastoma,Wheezing
Neuroblastoma,Chest pain
Neuroblastoma,"Changes to the eyes, including drooping eyelids and unequal pupil size"
Neuroblastoma,Lumps of tissue under the skin
Neuroblastoma,Eyeballs that seem to protrude from the sockets (proptosis)
Neuroblastoma,"Dark circles, similar to bruises, around the eyes"
Neuroblastoma,Back pain
Neuroblastoma,Fever
Neuroblastoma,Unexplained weight loss
Neuroblastoma,Bone pain
Non-Hodgkin's lymphoma,"Swollen lymph nodes in your neck, armpits or groin"
Non-Hodgkin's lymphoma,Abdominal pain or swelling
Non-Hodgkin's lymphoma,"Chest pain, coughing or trouble breathing"
Non-Hodgkin's lymphoma,Persistent fatigue
Non-Hodgkin's lymphoma,Fever
Non-Hodgkin's lymphoma,Night sweats
Non-Hodgkin's lymphoma,Unexplained weight loss
Ovarian cancer,Abdominal bloating or swelling
Ovarian cancer,Quickly feeling full when eating
Ovarian cancer,Weight loss
Ovarian cancer,Discomfort in the pelvic area
Ovarian cancer,Fatigue
Ovarian cancer,Back pain
Ovarian cancer,"Changes in bowel habits, such as constipation"
Ovarian cancer,A frequent need to urinate
Pancreatic cancer,Abdominal pain that radiates to your back
Pancreatic cancer,Loss of appetite or unintended weight loss
Pancreatic cancer,Yellowing of your skin and the whites of your eyes (jaundice)
Pancreatic cancer,Light-colored stools
Pancreatic cancer,Dark-colored urine
Pancreatic cancer,Itchy skin
Pancreatic cancer,New diagnosis of diabetes or existing diabetes that's becoming more difficult to control
Pancreatic cancer,Blood clots
Pancreatic cancer,Fatigue
Prostate cancer,Trouble urinating
Prostate cancer,Decreased force in the stream of urine
Prostate cancer,Blood in the urine
Prostate cancer,Blood in the semen
Prostate cancer,Bone pain
Prostate cancer,Losing weight without trying
Prostate cancer,Erectile dysfunction
Rectal cancer,"A change in bowel habits, such as diarrhea, constipation or more-frequent bowel movements"
Rectal cancer,Dark maroon or bright red blood in stool
Rectal cancer,Narrow stool
Rectal cancer,A feeling that your bowel doesn't empty completely
Rectal cancer,Abdominal pain
Rectal cancer,Unexplained weight loss
Rectal cancer,Weakness or fatigue
Skin cancer,A pearly or waxy bump
Skin cancer,"A flat, flesh-colored or brown scar-like lesion"
Skin cancer,A bleeding or scabbing sore that heals and returns
Soft tissue sarcoma,A noticeable lump or swelling
Soft tissue sarcoma,"Pain, if a tumor presses on nerves or muscles"
Squamous cell carcinoma of the skin,"A firm, red nodule"
Squamous cell carcinoma of the skin,A flat sore with a scaly crust
Squamous cell carcinoma of the skin,A new sore or raised area on an old scar or ulcer
Squamous cell carcinoma of the skin,"A rough, scaly patch on your lip that may evolve to an open sore"
Squamous cell carcinoma of the skin,A red sore or rough patch inside your mouth
Squamous cell carcinoma of the skin,"A red, raised patch or wartlike sore on or in the anus or on your genitals"
Testicular cancer,A lump or enlargement in either testicle
Testicular cancer,A feeling of heaviness in the scrotum
Testicular cancer,A dull ache in the abdomen or groin
Testicular cancer,A sudden collection of fluid in the scrotum
Testicular cancer,Pain or discomfort in a testicle or the scrotum
Testicular cancer,Enlargement or tenderness of the breasts
Testicular cancer,Back pain
Throat cancer,A cough
Throat cancer,"Changes in your voice, such as hoarseness or not speaking clearly"
Throat cancer,Difficulty swallowing
Throat cancer,Ear pain
Throat cancer,A lump or sore that doesn't heal
Throat cancer,A sore throat
Throat cancer,Weight loss
Thyroid cancer,A lump (nodule) that can be felt through the skin on your neck
Thyroid cancer,"Changes to your voice, including increasing hoarseness"
Thyroid cancer,Difficulty swallowing
Thyroid cancer,Pain in your neck and throat
Thyroid cancer,Swollen lymph nodes in your neck
Vaginal cancer,"Unusual vaginal bleeding, for example, after intercourse or after menopause"
Vaginal cancer,Watery vaginal discharge
Vaginal cancer,A lump or mass in your vagina
Vaginal cancer,Painful urination
Vaginal cancer,Frequent urination
Vaginal cancer,Constipation
Vaginal cancer,Pelvic pain
Vulvar cancer,Itching that doesn't go away
Vulvar cancer,Pain and tenderness
Vulvar cancer,Bleeding that isn't from menstruation
Vulvar cancer,"Skin changes, such as color changes or thickening"
Vulvar cancer,"A lump, wartlike bumps or an open sore (ulcer)"
Wilms' tumor,An abdominal mass you can feel
Wilms' tumor,Abdominal swelling
Wilms' tumor,Abdominal pain
Wilms' tumor,Fever
Wilms' tumor,Blood in the urine
Wilms' tumor,Nausea or vomiting or both
Wilms' tumor,Constipation
Wilms' tumor,Loss of appetite
Wilms' tumor,Shortness of breath
Wilms' tumor,High blood pressure
Yeast infection (vaginal),Itching and irritation in the vagina and vulva
Yeast infection (vaginal),"A burning sensation, especially during intercourse or while urinating"
Yeast infection (vaginal),Redness and swelling of the vulva
Yeast infection (vaginal),Vaginal pain and soreness
Yeast infection (vaginal),Vaginal rash
Yeast infection (vaginal),"Thick, white, odor-free vaginal discharge with a cottage cheese appearance"
Yeast infection (vaginal),Watery vaginal discharge
Carbon monoxide poisoning,Dull headache
Carbon monoxide poisoning,Weakness
Carbon monoxide poisoning,Dizziness
Carbon monoxide poisoning,Nausea or vomiting
Carbon monoxide poisoning,Shortness of breath
Carbon monoxide poisoning,Confusion
Carbon monoxide poisoning,Blurred vision
Carbon monoxide poisoning,Loss of consciousness
Sudden cardiac arrest,Sudden collapse
Sudden cardiac arrest,No pulse
Sudden cardiac arrest,No breathing
Sudden cardiac arrest,Loss of consciousness
Sudden cardiac arrest,Chest discomfort
Sudden cardiac arrest,Shortness of breath
Sudden cardiac arrest,Weakness
Sudden cardiac arrest,"Fast-beating, fluttering or pounding heart (palpitations)"
Myocardial ischemia,Neck or jaw pain
Myocardial ischemia,Shoulder or arm pain
Myocardial ischemia,A fast heartbeat
Myocardial ischemia,Shortness of breath when you are physically active
Myocardial ischemia,Nausea and vomiting
Myocardial ischemia,Sweating
Myocardial ischemia,Fatigue
Cardiogenic shock,Rapid breathing
Cardiogenic shock,Severe shortness of breath
Cardiogenic shock,"Sudden, rapid heartbeat (tachycardia)"
Cardiogenic shock,Loss of consciousness
Cardiogenic shock,Weak pulse
Cardiogenic shock,Low blood pressure (hypotension)
Cardiogenic shock,Sweating
Cardiogenic shock,Pale skin
Cardiogenic shock,Cold hands or feet
Cardiogenic shock,Urinating less than normal or not at all
Enlarged heart,Shortness of breath
Enlarged heart,Abnormal heart rhythm (arrhythmia)
Enlarged heart,Swelling (edema)
Cardiomyopathy,Breathlessness with activity or even at rest
Cardiomyopathy,"Swelling of the legs, ankles and feet"
Cardiomyopathy,Bloating of the abdomen due to fluid buildup
Cardiomyopathy,Cough while lying down
Cardiomyopathy,Difficulty lying flat to sleep
Cardiomyopathy,Fatigue
Cardiomyopathy,"Heartbeats that feel rapid, pounding or fluttering"
Cardiomyopathy,Chest discomfort or pressure
Cardiomyopathy,"Dizziness, lightheadedness and fainting"
Dilated cardiomyopathy,Fatigue
Dilated cardiomyopathy,Shortness of breath (dyspnea) when you're active or lying down
Dilated cardiomyopathy,Reduced ability to exercise
Dilated cardiomyopathy,"Swelling (edema) in your legs, ankles, feet and abdomen"
Dilated cardiomyopathy,"Chest pain or feelings of having a fast-beating, fluttering or pounding heart (palpitations)"
Dilated cardiomyopathy,"Extra or unusual sounds heard when your heart beats (heart murmurs), which your doctor may find during a physical examination"
Hypertrophic cardiomyopathy,"Chest pain, especially during exercise"
Hypertrophic cardiomyopathy,"Fainting, especially during or just after exercise or exertion"
Hypertrophic cardiomyopathy,"Heart murmur, which a doctor might detect while listening to your heart"
Hypertrophic cardiomyopathy,"Sensation of rapid, fluttering or pounding heartbeats (palpitations)"
Hypertrophic cardiomyopathy,"Shortness of breath, especially during exercise"
Heart disease,"Chest pain, chest tightness, chest pressure and chest discomfort (angina)"
Heart disease,Shortness of breath
Heart disease,"Pain, numbness, weakness or coldness in your legs or arms if the blood vessels in those parts of your body are narrowed"
Heart disease,"Pain in the neck, jaw, throat, upper abdomen or back"
Carotid artery disease,"Sudden numbness or weakness in the face or limbs, often on only one side of the body"
Carotid artery disease,Sudden trouble speaking and understanding
Carotid artery disease,Sudden trouble seeing in one or both eyes
Carotid artery disease,Sudden dizziness or loss of balance
Carotid artery disease,"Sudden, severe headache with no known cause"
Carpal tunnel syndrome,"Tingling or numbness. You may notice tingling and numbness in your fingers or hand. Usually the thumb and index, middle or ring fingers are affected, but not your little finger. You might feel a sensation like an electric shock in these fingers.
The sensation may travel from your wrist up your arm. These symptoms often occur while holding a steering wheel, phone or newspaper, or may wake you from sleep.
Many people ""shake out"" their hands to try to relieve their symptoms. The numb feeling may become constant over time."
Carpal tunnel syndrome,"Weakness. You may experience weakness in your hand and drop objects. This may be due to the numbness in your hand or weakness of the thumb's pinching muscles, which are also controlled by the median nerve."
Cataracts,"Clouded, blurred or dim vision"
Cataracts,Increasing difficulty with vision at night
Cataracts,Sensitivity to light and glare
Cataracts,Need for brighter light for reading and other activities
Cataracts,"Seeing ""halos"" around lights"
Cataracts,Frequent changes in eyeglass or contact lens prescription
Cataracts,Fading or yellowing of colors
Cataracts,Double vision in a single eye
Celiac disease,Diarrhea
Celiac disease,Fatigue
Celiac disease,Weight loss
Celiac disease,Bloating and gas
Celiac disease,Abdominal pain
Celiac disease,Nausea and vomiting
Celiac disease,Constipation
Celiac disease,"Anemia, usually from iron deficiency"
Celiac disease,Loss of bone density (osteoporosis) or softening of bone (osteomalacia)
Celiac disease,"Itchy, blistery skin rash (dermatitis herpetiformis)"
Celiac disease,Mouth ulcers
Celiac disease,Headaches and fatigue
Celiac disease,"Nervous system injury, including numbness and tingling in the feet and hands, possible problems with balance, and cognitive impairment"
Celiac disease,Joint pain
Celiac disease,Reduced functioning of the spleen (hyposplenism)
Cellulitis,Red area of skin that tends to expand
Cellulitis,Swelling
Cellulitis,Tenderness
Cellulitis,Pain
Cellulitis,Warmth
Cellulitis,Fever
Cellulitis,Red spots
Cellulitis,Blisters
Cellulitis,Skin dimpling
Central sleep apnea,Observed episodes of not breathing or abnormal breathing patterns during sleep
Central sleep apnea,Abrupt awakenings accompanied by shortness of breath
Central sleep apnea,Difficulty staying asleep (insomnia)
Central sleep apnea,Excessive daytime sleepiness (hypersomnia)
Central sleep apnea,Difficulty concentrating
Central sleep apnea,Mood changes
Central sleep apnea,Morning headaches
Central sleep apnea,Snoring
Cerebral palsy,"Stiff muscles and exaggerated reflexes (spasticity), the most common movement disorder"
Cerebral palsy,"Variations in muscle tone, such as being either too stiff or too floppy"
Cerebral palsy,Stiff muscles with normal reflexes (rigidity)
Cerebral palsy,Lack of balance and muscle coordination (ataxia)
Cerebral palsy,Tremors or jerky involuntary movements
Cerebral palsy,"Slow, writhing movements"
Cerebral palsy,"Favoring one side of the body, such as only reaching with one hand or dragging a leg while crawling"
Cerebral palsy,"Difficulty walking, such as walking on toes, a crouched gait, a scissors-like gait with knees crossing, a wide gait or an asymmetrical gait"
Cerebral palsy,"Difficulty with fine motor skills, such as buttoning clothes or picking up utensils"
Stroke,"Trouble speaking and understanding what others are saying. You may experience confusion, slur your words or have difficulty understanding speech."
Stroke,"Paralysis or numbness of the face, arm or leg. You may develop sudden numbness, weakness or paralysis in your face, arm or leg. This often affects just one side of your body. Try to raise both your arms over your head at the same time. If one arm begins to fall, you may be having a stroke. Also, one side of your mouth may droop when you try to smile."
Stroke,"Problems seeing in one or both eyes. You may suddenly have blurred or blackened vision in one or both eyes, or you may see double."
Stroke,"Headache. A sudden, severe headache, which may be accompanied by vomiting, dizziness or altered consciousness, may indicate that you're having a stroke."
Stroke,Trouble walking. You may stumble or lose your balance. You may also have sudden dizziness or a loss of coordination.
Cervical spondylosis,"Tingling, numbness and weakness in your arms, hands, legs or feet"
Cervical spondylosis,Lack of coordination and difficulty walking
Cervical spondylosis,Loss of bladder or bowel control
Cervicitis,Large amounts of unusual vaginal discharge
Cervicitis,"Frequent, painful urination"
Cervicitis,Pain during sex
Cervicitis,Bleeding between menstrual periods
Cervicitis,"Vaginal bleeding after sex, not associated with a menstrual period"
Chemo brain,Being unusually disorganized
Chemo brain,Confusion
Chemo brain,Difficulty concentrating
Chemo brain,Difficulty finding the right word
Chemo brain,Difficulty learning new skills
Chemo brain,Difficulty multitasking
Chemo brain,Feeling of mental fogginess
Chemo brain,Short attention span
Chemo brain,Short-term memory problems
Chemo brain,Taking longer than usual to complete routine tasks
Chemo brain,"Trouble with verbal memory, such as remembering a conversation"
Chemo brain,"Trouble with visual memory, such as recalling an image or list of words"
Chickenpox,Fever
Chickenpox,Loss of appetite
Chickenpox,Headache
Chickenpox,Tiredness and a general feeling of being unwell (malaise)
Chickenpox,"Raised pink or red bumps (papules), which break out over several days"
Chickenpox,"Small fluid-filled blisters (vesicles), which form in about one day and then break and leak"
Chickenpox,"Crusts and scabs, which cover the broken blisters and take several more days to heal"
Chilblains,"Small, itchy red areas on your skin, often on your feet or hands"
Chilblains,Possible blistering or skin ulcers
Chilblains,Swelling of your skin
Chilblains,Burning sensation on your skin
Chilblains,"Changes in skin color from red to dark blue, accompanied by pain"
Childhood obesity,"Diet. Regularly eating high-calorie foods, such as fast foods, baked goods and vending machine snacks, can cause your child to gain weight. Candy and desserts also can cause weight gain, and more and more evidence points to sugary drinks, including fruit juices and sports drinks, as culprits in obesity in some people."
Childhood obesity,"Lack of exercise. Children who don't exercise much are more likely to gain weight because they don't burn as many calories. Too much time spent in sedentary activities, such as watching television or playing video games, also contributes to the problem. TV shows also often feature ads for unhealthy foods."
Childhood obesity,"Family factors. If your child comes from a family of overweight people, he or she may be more likely to put on weight. This is especially true in an environment where high-calorie foods are always available and physical activity isn't encouraged."
Childhood obesity,"Psychological factors. Personal, parental and family stress can increase a child's risk of obesity. Some children overeat to cope with problems or to deal with emotions, such as stress, or to fight boredom. Their parents might have similar tendencies."
Childhood obesity,"Socioeconomic factors. People in some communities have limited resources and limited access to supermarkets. As a result, they might buy convenience foods that don't spoil quickly, such as frozen meals, crackers and cookies. Also, people who live in lower income neighborhoods might not have access to a safe place to exercise."
Childhood obesity,"Certain medications. Some prescription drugs can increase the risk of developing obesity. They include prednisone, lithium, amitriptyline, paroxetine (Paxil), gabapentin (Neurontin, Gralise, Horizant) and propranolol (Inderal, Hemangeol)."
Chlamydia trachomatis,Painful urination
Chlamydia trachomatis,Vaginal discharge in women
Chlamydia trachomatis,Discharge from the penis in men
Chlamydia trachomatis,Painful sexual intercourse in women
Chlamydia trachomatis,Bleeding between periods and after sex in women
Chlamydia trachomatis,Testicular pain in men
Primary sclerosing cholangitis,Fatigue
Primary sclerosing cholangitis,Itching
Primary sclerosing cholangitis,Yellow eyes and skin (jaundice)
Primary sclerosing cholangitis,Abdominal pain
Primary sclerosing cholangitis,Fever
Primary sclerosing cholangitis,Chills
Primary sclerosing cholangitis,Night sweats
Primary sclerosing cholangitis,Enlarged liver
Primary sclerosing cholangitis,Enlarged spleen
Primary sclerosing cholangitis,Weight loss
Cholecystitis,Severe pain in your upper right or center abdomen
Cholecystitis,Pain that spreads to your right shoulder or back
Cholecystitis,Tenderness over your abdomen when it's touched
Cholecystitis,Nausea
Cholecystitis,Vomiting
Cholecystitis,Fever
Cholera,"Diarrhea. Cholera-related diarrhea comes on suddenly and can quickly cause dangerous fluid loss — as much as a quart (about 1 liter) an hour. Diarrhea due to cholera often has a pale, milky appearance that resembles water in which rice has been rinsed."
Cholera,Nausea and vomiting. Vomiting occurs especially in the early stages of cholera and can last for hours.
Cholera,"Dehydration. Dehydration can develop within hours after cholera symptoms start and range from mild to severe. A loss of 10% or more of body weight indicates severe dehydration.
Signs and symptoms of cholera dehydration include irritability, fatigue, sunken eyes, a dry mouth, extreme thirst, dry and shriveled skin that's slow to bounce back when pinched into a fold, little or no urinating, low blood pressure, and an irregular heartbeat."
Cholestasis of pregnancy,Yellowing of the skin and whites of the eyes (jaundice)
Cholestasis of pregnancy,Nausea
Cholestasis of pregnancy,Loss of appetite
High cholesterol,Arcus senilis: A sign of high cholesterol?
Spinal cord tumor,Pain at the site of the tumor due to tumor growth
Spinal cord tumor,"Back pain, often radiating to other parts of your body"
Spinal cord tumor,"Feeling less sensitive to pain, heat and cold"
Spinal cord tumor,Loss of bowel or bladder function
Spinal cord tumor,"Difficulty walking, sometimes leading to falls"
Spinal cord tumor,Back pain that's worse at night
Spinal cord tumor,"Loss of sensation or muscle weakness, especially in your arms or legs"
Spinal cord tumor,"Muscle weakness , which may be mild or severe, in different parts of your body"
Chronic cough,A runny or stuffy nose
Chronic cough,A feeling of liquid running down the back of your throat (postnasal drip)
Chronic cough,Frequent throat clearing and sore throat
Chronic cough,Hoarseness
Chronic cough,Wheezing and shortness of breath
Chronic cough,Heartburn or a sour taste in your mouth
Chronic cough,"In rare cases, coughing up blood"
Chronic daily headaches,Chronic migraine
Chronic daily headaches,Chronic tension-type headache
Chronic daily headaches,New daily persistent headache
Chronic daily headaches,Hemicrania continua
Chronic exertional compartment syndrome,"Aching, burning or cramping pain in a compartment of the affected limb"
Chronic exertional compartment syndrome,Tightness in the affected limb
Chronic exertional compartment syndrome,Numbness or tingling in the affected limb
Chronic exertional compartment syndrome,Weakness of the affected limb
Chronic exertional compartment syndrome,"Foot drop, in severe cases, if legs are affected"
Chronic exertional compartment syndrome,"Occasionally, swelling or bulging as a result of a muscle hernia"
Chronic exertional compartment syndrome,"Begins consistently after a certain time, distance or intensity of exertion after you start exercising the affected limb"
Chronic exertional compartment syndrome,Progressively worsens as you exercise
Chronic exertional compartment syndrome,Becomes less intense or stops completely within 15 minutes of stopping the activity
Chronic exertional compartment syndrome,"Over time, recovery time after exercise may increase"
Chronic fatigue syndrome,Fatigue
Chronic fatigue syndrome,Problems with memory or concentration
Chronic fatigue syndrome,Sore throat
Chronic fatigue syndrome,Headaches
Chronic fatigue syndrome,Enlarged lymph nodes in your neck or armpits
Chronic fatigue syndrome,Unexplained muscle or joint pain
Chronic fatigue syndrome,Dizziness that worsens with moving from lying down or sitting to standing
Chronic fatigue syndrome,Unrefreshing sleep
Chronic fatigue syndrome,Extreme exhaustion after physical or mental exercise
Chronic kidney disease,Nausea
Chronic kidney disease,Vomiting
Chronic kidney disease,Loss of appetite
Chronic kidney disease,Fatigue and weakness
Chronic kidney disease,Sleep problems
Chronic kidney disease,Urinating more or less
Chronic kidney disease,Decreased mental sharpness
Chronic kidney disease,Muscle cramps
Chronic kidney disease,Swelling of feet and ankles
Chronic kidney disease,"Dry, itchy skin"
Chronic kidney disease,High blood pressure (hypertension) that's difficult to control
Chronic kidney disease,"Shortness of breath, if fluid builds up in the lungs"
Chronic kidney disease,"Chest pain, if fluid builds up around the lining of the heart"
Hashimoto's disease,Fatigue and sluggishness
Hashimoto's disease,Increased sensitivity to cold
Hashimoto's disease,Constipation
Hashimoto's disease,"Pale, dry skin"
Hashimoto's disease,A puffy face
Hashimoto's disease,Brittle nails
Hashimoto's disease,Hair loss
Hashimoto's disease,Enlargement of the tongue
Hashimoto's disease,Unexplained weight gain
