disease,overview,treatment,when_to_see_doctor
Frostbite,"Superficial frostbite, as seen here on the tip of a finger, is most common on the fingers, toes, nose, ears, cheeks and chin. Superficial frostbite, as seen here on the tip of a finger, is most common on the fingers, toes, nose, ears, cheeks and chin. Frostbite is an injury caused by freezing of the skin and underlying tissues. First your skin becomes very cold and red, then numb, hard and pale. Frostbite is most common on the fingers, toes, nose, ears, cheeks and chin. Exposed skin in cold, windy weather is most vulnerable to frostbite. But frostbite can occur on skin covered by gloves or other clothing. Frostnip is a milder form of cold injury that doesn't cause permanent skin damage. You can treat frostnip with first-aid measures, including rewarming the affected skin. All other frostbite requires medical attention because it can damage skin, tissues, muscle and bones. Possible complications of severe frostbite include infection and nerve damage.","Rewarming of the skin. If it hasn't been done already, your doctor will rewarm the area using a warm-water bath for 15 to 30 minutes. The skin may turn soft and look red or purple. You may be encouraged to gently move the affected area as it rewarms. Oral pain medicine. Because the rewarming process can be painful, your doctor will likely give you a drug to ease the pain. Protecting the injury. Once your skin thaws, your doctor may loosely wrap the area with sterile sheets, towels or dressings to protect the skin. Or he or she may protect your fingers or toes as they thaw by gently separating them from each other. And you may need to elevate the affected area to reduce swelling. Removal of damaged tissue (debridement). To heal properly, frostbitten skin needs to be free of damaged, dead or infected tissue. To better distinguish between healthy and dead tissue, your doctor may wait one to three months before removing damaged tissue. Whirlpool therapy or physical therapy. Soaking in a whirlpool bath (hydrotherapy) can aid healing by keeping skin clean and naturally removing dead tissue. You may be encouraged to gently move the affected area. Infection-fighting drugs. If your skin or blisters appear infected, your doctor may prescribe oral antibiotics. Clot-busting drugs. You may receive an intravenous injection (IV) of a drug that helps restore blood flow (thrombolytic), such as tissue plasminogen activator (TPA). Studies of people with severe frostbite show that TPA lowers the risk of amputation. But these drugs can cause serious bleeding and are typically used only in the most serious situations and within 24 hours of exposure. Wound care. A variety of wound care techniques may be used, depending on the extent of injury. Surgery. People who have experienced severe frostbite may in time need surgery or amputation to remove dead or decaying tissue. Hyperbaric oxygen therapy. Hyperbaric oxygen therapy involves breathing pure oxygen in a pressurized room. Some patients showed improved symptoms after this therapy. But more study is needed.","Seek medical attention for frostbite if you experience: 
Signs and symptoms of superficial or deep frostbite
Increased pain, swelling, redness or discharge in the area that was frostbitten
Fever
New, unexplained symptoms
 Get emergency medical help if you suspect hypothermia, a condition in which your body loses heat faster than it can be produced. Signs and symptoms of hypothermia include: 
Intense shivering
Slurred speech
Drowsiness and loss of coordination
 What you can do in the meantime While you wait for your emergency medical help or a doctor's appointment, take appropriate self-care measures, such as: 
Protecting the affected area from further cold
Not walking on frostbitten feet
Reducing pain with ibuprofen (Advil, Motrin IB, others)"
Fuchs' dystrophy,"With Fuchs' dystrophy, the body of the cornea (stroma) begins to thicken, and the cornea becomes cloudy. With Fuchs' dystrophy, the body of the cornea (stroma) begins to thicken, and the cornea becomes cloudy. In Fuchs' (fewks) dystrophy, fluid builds up in the clear layer (cornea) on the front of your eye, causing your cornea to swell and thicken. This can lead to glare, blurred or cloudy vision, and eye discomfort. Fuchs' dystrophy usually affects both eyes and can cause your vision to gradually worsen over years. Typically, the disease starts in the 30s and 40s, but many people with Fuchs' dystrophy don't develop symptoms until they reach their 50s or 60s. Some medications and self-care steps may help relieve your Fuchs' dystrophy signs and symptoms. But when the disorder is advanced and your vision is affecting your ability to function well, the best way to restore vision is with cornea transplant surgery.",Eye medication. Saline (5% sodium chloride) eyedrops or ointments can help reduce the amount of fluid in your cornea. Soft contact lenses. These act as a covering to relieve pain.,"If you have some of these symptoms, and especially if they worsen over time, see an eye care provider, who might then refer you to a corneal specialist. If symptoms develop suddenly, call for an urgent appointment. Other eye conditions that cause the same symptoms as Fuchs' dystrophy also require prompt treatment."
Functional dyspepsia,"Functional dyspepsia (dis-PEP-see-uh) is a term for recurring signs and symptoms of indigestion that have no obvious cause. Functional dyspepsia is also called nonulcer stomach pain or nonulcer dyspepsia.  Functional dyspepsia is common and can be long lasting — although signs and symptoms are mostly intermittent. These signs and symptoms resemble those of an ulcer, such as pain or discomfort in your upper abdomen, often accompanied by bloating, belching and nausea.","Over-the-counter gas remedies. Drugs that contain the ingredient simethicone may provide some relief by reducing intestinal gas. Examples of gas-relieving remedies include Mylanta and Gas-X. Medications to reduce acid production. Called H-2-receptor blockers, these medications are available over-the-counter and include cimetidine (Tagamet HB), famotidine (Pepcid AC) and nizatidine (Axid AR). Stronger versions of these medications are available in prescription form. 
Medications that block acid 'pumps.' Proton pump inhibitors shut down the acid ""pumps"" within acid-secreting stomach cells.
Over-the-counter proton pump inhibitors include lansoprazole (Prevacid 24HR), omeprazole (Prilosec OTC) and esopremazole (Nexium 24HR). Proton pump inhibitors are also available by prescription.
 Antibiotics. If tests indicate that a common ulcer-causing bacterium called H. pylori is present in your stomach, your doctor may recommend antibiotics in combination with acid-suppressing medication. Low-dose antidepressants. Tricyclic antidepressants and drugs known as selective serotonin reuptake inhibitors, taken in low doses, may help inhibit the activity of neurons that control intestinal pain. Prokinetics. Prokinetic agents help your stomach empty more rapidly and may help tighten the valve between your stomach and esophagus, reducing the likelihood of upper abdominal discomfort. Medications to relieve nausea (anti-emetics). If you feel nauseated after eating, your doctor may recommend an anti-emetic, such as promethazine, prochlorperazine or meclizine.","Make an appointment with your doctor if you experience persistent signs and symptoms that worry you. Seek immediate medical attention if you experience:  
Bloody vomit
Dark, tarry stools
Shortness of breath
Pain that radiates to your jaw, neck or arm
Unexplained weight loss
 Causes It's not clear what causes functional dyspepsia. Doctors consider it a functional disorder, which means that routine testing may not show any abnormalities. Hence, it is diagnosed based on symptoms. Risk factors Factors that can increase the risk of functional dyspepsia include: 
Female sex
Use of certain over-the-counter pain relievers, such as aspirin and ibuprofen (Advil, Motrin IB, others), which can cause stomach problems
Smoking
Anxiety or depression
History of childhood physical or sexual abuse
Helicobacter pylori infection"
Gallstones,"Gallstones are hardened deposits of bile that can form in your gallbladder. Bile is a digestive fluid produced in your liver and stored in your gallbladder. When you eat, your gallbladder contracts and empties bile into your small intestine (duodenum). Gallstones are hardened deposits of bile that can form in your gallbladder. Bile is a digestive fluid produced in your liver and stored in your gallbladder. When you eat, your gallbladder contracts and empties bile into your small intestine (duodenum). Gallstones are hardened deposits of digestive fluid that can form in your gallbladder. Your gallbladder is a small, pear-shaped organ on the right side of your abdomen, just beneath your liver. The gallbladder holds a digestive fluid called bile that's released into your small intestine. Gallstones range in size from as small as a grain of sand to as large as a golf ball. Some people develop just one gallstone, while others develop many gallstones at the same time. People who experience symptoms from their gallstones usually require gallbladder removal surgery. Gallstones that don't cause any signs and symptoms typically don't need treatment.","Surgery to remove the gallbladder (cholecystectomy). Your doctor may recommend surgery to remove your gallbladder, since gallstones frequently recur. Once your gallbladder is removed, bile flows directly from your liver into your small intestine, rather than being stored in your gallbladder.
You don't need your gallbladder to live, and gallbladder removal doesn't affect your ability to digest food, but it can cause diarrhea, which is usually temporary.
 
Medications to dissolve gallstones. Medications you take by mouth may help dissolve gallstones. But it may take months or years of treatment to dissolve your gallstones in this way, and gallstones will likely form again if treatment is stopped.
Sometimes medications don't work. Medications for gallstones aren't commonly used and are reserved for people who can't undergo surgery.","Make an appointment with your doctor if you have any signs or symptoms that worry you. Seek immediate care if you develop signs and symptoms of a serious gallstone complication, such as: 
Abdominal pain so intense that you can't sit still or find a comfortable position
Yellowing of your skin and the whites of your eyes (jaundice)
High fever with chills"
Gangrene,"Gangrene is death of body tissue due to a lack of blood flow or a serious bacterial infection. Gangrene commonly affects the arms and legs, including the toes and fingers, but it can also occur in the muscles and in organs inside the body, such as the gallbladder. Your risk of gangrene is higher if you have an underlying condition that can damage your blood vessels and affect blood flow, such as diabetes or hardened arteries (atherosclerosis). Treatments for gangrene include surgery to restore blood flow and remove dead tissue, antibiotics if there is an infection, and hyperbaric oxygen therapy. The earlier gangrene is identified and treated, the better your chances for recovery.","Debridement. This type of surgery is done to remove the infected tissue and stop the infection from spreading. Your doctor may also perform surgery to repair any damaged or diseased blood vessels to restore blood flow to the infected area. Your doctor may prescribe certain antibiotics until the infection is cleared. Amputation. In severe cases of gangrene, the infected body part — such as a toe, finger, arm or leg — may need to be surgically removed (amputated). You may later be fitted with an artificial limb (prosthesis). Skin grafting (reconstructive surgery). Sometimes, surgery is needed to repair damaged skin or to improve the appearance of gangrene-related scars. Such surgery may be done using a skin graft. During a skin graft, your doctor removes healthy skin from another part of your body — usually a place hidden by your clothing — and carefully spreads it over an affected area. The healthy skin may be held in place by a dressing or by a couple of small stitches. A skin graft can be done only if there is enough blood supply to the area.","Gangrene is a serious condition and needs emergency treatment. Call your doctor right away if you have persistent, unexplained pain in any area of your body along with one or more of the following signs and symptoms: 
Persistent fever
Skin changes — including discoloration, warmth, swelling, blisters or lesions — that won't go away
A foul-smelling discharge leaking from a sore
Sudden pain at the site of a recent surgery or trauma
Skin that's pale, hard, cold and numb"
Gastritis,"Your stomach is a muscular sac about the size of a small melon that expands when you eat or drink to hold as much as a gallon (about 4 liters) of food or liquid. Once your stomach pulverizes the food, strong muscular contractions (peristaltic waves) push the food toward the pyloric valve, which leads to the upper portion of your small intestine (duodenum). Your stomach is a muscular sac about the size of a small melon that expands when you eat or drink to hold as much as a gallon (about 4 liters) of food or liquid. Once your stomach pulverizes the food, strong muscular contractions (peristaltic waves) push the food toward the pyloric valve, which leads to the upper portion of your small intestine (duodenum). Gastritis is a general term for a group of conditions with one thing in common: inflammation of the lining of the stomach. The inflammation of gastritis is most often the result of infection with the same bacterium that causes most stomach ulcers. Regular use of certain pain relievers and drinking too much alcohol also can contribute to gastritis. Gastritis may occur suddenly (acute gastritis), or appear slowly over time (chronic gastritis). In some cases, gastritis can lead to ulcers and an increased risk of stomach cancer. For most people, however, gastritis isn't serious and improves quickly with treatment.","Antibiotic medications to kill H. pylori. For H. pylori in your digestive tract, your doctor may recommend a combination of antibiotics, such as clarithromycin (Biaxin) and amoxicillin (Amoxil, Augmentin, others) or metronidazole (Flagyl), to kill the bacterium. Be sure to take the full antibiotic prescription, usually for seven to 14 days. 
Medications that block acid production and promote healing. Proton pump inhibitors reduce acid by blocking the action of the parts of cells that produce acid. These drugs include the prescription and over-the-counter medications omeprazole (Prilosec), lansoprazole (Prevacid), rabeprazole (Aciphex), esomeprazole (Nexium), dexlansoprazole (Dexilant) and pantoprazole (Protonix).
Long-term use of proton pump inhibitors, particularly at high doses, may increase your risk of hip, wrist and spine fractures. Ask your doctor whether a calcium supplement may reduce this risk.
 Medications to reduce acid production. Acid blockers — also called histamine (H-2) blockers — reduce the amount of acid released into your digestive tract, which relieves gastritis pain and encourages healing. Available by prescription or over-the-counter, acid blockers include famotidine (Pepcid), cimetidine (Tagamet HB) and nizatidine (Axid AR). Antacids that neutralize stomach acid. Your doctor may include an antacid in your drug regimen. Antacids neutralize existing stomach acid and can provide rapid pain relief. Side effects can include constipation or diarrhea, depending on the main ingredients.","Nearly everyone has had a bout of indigestion and stomach irritation. Most cases of indigestion are short-lived and don't require medical care. See your doctor if you have signs and symptoms of gastritis for a week or longer. Tell your doctor if your stomach discomfort occurs after taking prescription or over-the-counter drugs, especially aspirin or other pain relievers. If you are vomiting blood, have blood in your stools or have stools that appear black, see your doctor right away to determine the cause."
Viral gastroenteritis (stomach flu),"Viral gastroenteritis is an intestinal infection marked by watery diarrhea, abdominal cramps, nausea or vomiting, and sometimes fever. The most common way to develop viral gastroenteritis — often called stomach flu —is through contact with an infected person or by ingesting contaminated food or water. If you're otherwise healthy, you'll likely recover without complications. But for infants, older adults and people with compromised immune systems, viral gastroenteritis can be deadly. There's no effective treatment for viral gastroenteritis, so prevention is key. In addition to avoiding food and water that may be contaminated, thorough and frequent hand-washings are your best defense.","Let your stomach settle. Stop eating solid foods for a few hours. Try sucking on ice chips or taking small sips of water. You might also try drinking clear soda, clear broths or noncaffeinated sports drinks. Drink plenty of liquid every day, taking small, frequent sips. Ease back into eating. Gradually begin to eat bland, easy-to-digest foods, such as soda crackers, toast, gelatin, bananas, rice and chicken. Stop eating if your nausea returns. Avoid certain foods and substances until you feel better. These include dairy products, caffeine, alcohol, nicotine, and fatty or highly seasoned foods. Get plenty of rest. The illness and dehydration may have made you weak and tired. Be cautious with medications. Use many medications, such as ibuprofen (Advil, Motrin IB, others), sparingly if at all. They can make your stomach more upset. Use acetaminophen (Tylenol, others) cautiously; it sometimes can cause liver toxicity, especially in children. Don't give aspirin to children or teens because of the risk of Reye's syndrome, a rare, but potentially fatal disease. Before choosing a pain reliever or fever reducer, discuss with your child's pediatrician.","If you're an adult, call your doctor if: 
You're not able to keep liquids down for 24 hours
You've been vomiting for more than two days
You're vomiting blood
You're dehydrated — signs of dehydration include excessive thirst, dry mouth, deep yellow urine or little or no urine, and severe weakness, dizziness or lightheadedness
You notice blood in your bowel movements
You have a fever above 104 F (40 C)
 For infants and children See your doctor right away if your child: 
Has a fever of 102 F (38.9 C) or higher
Seems lethargic or very irritable
Is in a lot of discomfort or pain
Has bloody diarrhea
Seems dehydrated — watch for signs of dehydration in sick infants and children by comparing how much they drink and urinate with how much is normal for them
 If you have an infant, remember that while spitting up may be an everyday occurrence for your baby, vomiting is not. Babies vomit for a variety of reasons, many of which may require medical attention. Call your baby's doctor right away if your baby: 
Has vomiting that lasts more than several hours
Hasn't had a wet diaper in six hours
Has bloody stools or severe diarrhea
Has a sunken soft spot (fontanel)on the top of his or her head
Has a dry mouth or cries without tears
Is unusually sleepy, drowsy or unresponsive"
Gaucher disease,"Gaucher (go-SHAY) disease is the result of a buildup of certain fatty substances in certain organs, particularly your spleen and liver. This causes these organs to enlarge and can affect their function. The fatty substances also can build up in bone tissue, weakening the bone and increasing the risk of fractures. If the bone marrow is affected, it can interfere with your blood's ability to clot. An enzyme that breaks down these fatty substances doesn't work properly in people with Gaucher disease. Treatment often includes enzyme replacement therapy. An inherited disorder, Gaucher disease is most common in Jewish people of Eastern and Central European descent (Ashkenazi). Symptoms can appear at any age.","Enzyme replacement therapy. This approach replaces the deficient enzyme with artificial ones. These replacement enzymes are given in an outpatient procedure through a vein (intravenously), typically in high doses at two-week intervals. Occasionally people have an allergic or hypersensitivity reaction to enzyme treatment. Miglustat (Zavesca). This oral medication appears to interfere with the production of fatty substances that build up in people with Gaucher disease. Diarrhea and weight loss are common side effects. Eliglustat (Cerdelga). This drug also seems to inhibit the production of fatty substances that build up in people with the most common form of Gaucher disease. Possible side effects include fatigue, headache, nausea and diarrhea. Osteoporosis drugs. These types of medication can help rebuild bone weakened by Gaucher disease.","If you or your child has the signs and symptoms associated with Gaucher disease, make an appointment with your doctor."
Genital herpes,"Genital herpes is a common sexually transmitted infection caused by the herpes simplex virus (HSV). Sexual contact is the primary way that the virus spreads. After the initial infection, the virus lies dormant in your body and can reactivate several times a year. Genital herpes can cause pain, itching and sores in your genital area. But you may have no signs or symptoms of genital herpes. If infected, you can be contagious even if you have no visible sores. There's no cure for genital herpes, but medications can ease symptoms and reduce the risk of infecting others. Condoms also can help prevent the spread of a genital herpes infection.",Help sores heal sooner during an initial outbreak Lessen the severity and duration of symptoms in recurrent outbreaks Reduce the frequency of recurrence Minimize the chance of transmitting the herpes virus to another Acyclovir (Zovirax) Valacyclovir (Valtrex),If you suspect you have genital herpes — or any other sexually transmitted infection — see your doctor.
Giardia infection (giardiasis),"Giardia infection is an intestinal infection marked by stomach cramps, bloating, nausea and bouts of watery diarrhea. Giardia infection is caused by a microscopic parasite that is found worldwide, especially in areas with poor sanitation and unsafe water. Giardia infection (giardiasis) is one of the most common causes of waterborne disease in the United States. The parasites are found in backcountry streams and lakes but also in public water supplies, swimming pools, whirlpool spas and wells. Giardia infection can be spread through food and person-to-person contact. Giardia infections usually clear up within a few weeks. But you may have intestinal problems long after the parasites are gone. Several drugs are generally effective against giardia parasites, but not everyone responds to them. Prevention is your best defense.","Metronidazole (Flagyl). Metronidazole is the most commonly used antibiotic for giardia infection. Side effects may include nausea and a metallic taste in the mouth. Don't drink alcohol while taking this medication. Tinidazole (Tindamax). Tinidazole works as well as metronidazole and has many of the same side effects, but it can be given in a single dose. Nitazoxanide (Alinia). Because it comes in a liquid form, nitazoxanide may be easier for children to swallow. Side effects may include nausea, gas, yellow eyes and brightly colored yellow urine.","Call your doctor if you have loose stools, stomach cramping and bloating, and nausea lasting more than a week, or if you become dehydrated. Be sure to tell your doctor if you're at risk of giardia infection — that is, you have a child in child care, you've recently traveled to an area where the infection is common, or you've swallowed water from a lake or stream."
Gilbert's syndrome,"The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach. The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach. Gilbert's (zheel-BAYRS) syndrome is a common, harmless liver condition in which the liver doesn't properly process bilirubin. Bilirubin is produced by the breakdown of red blood cells. If you have Gilbert's syndrome — also known as constitutional hepatic dysfunction and familial nonhemolytic jaundice — you're born with the condition as a result of an inherited gene mutation. You might not know you have Gilbert's syndrome until it's discovered by accident, such as when a blood test shows elevated bilirubin levels. Gilbert's syndrome requires no treatment.","Make sure your doctors know you have Gilbert's syndrome. Because Gilbert's syndrome affects the way your body processes certain medications, every doctor you visit needs to know that you have the condition. Eat a healthy diet. Avoid extremely low-calorie diets. Stick to a routine eating schedule, and avoid fasting or skipping meals. Manage stress. Find ways to deal with the stresses in your life. Exercise, meditation and listening to music may be helpful.","Make an appointment with your doctor if you have jaundice, which has many possible causes."
Glaucoma,"Normally, fluid (aqueous humor) in the eye flows freely through the anterior chamber and exits through the drainage system (trabecular meshwork). If that system is blocked or isn't functioning well, the pressure inside the eye (intraocular pressure) builds, which in turn damages the optic nerve. With the most common type of glaucoma, this results in gradual vision loss. Normally, fluid (aqueous humor) in the eye flows freely through the anterior chamber and exits through the drainage system (trabecular meshwork). If that system is blocked or isn't functioning well, the pressure inside the eye (intraocular pressure) builds, which in turn damages the optic nerve. With the most common type of glaucoma, this results in gradual vision loss. Glaucoma is a group of eye conditions that damage the optic nerve, the health of which is vital for good vision. This damage is often caused by an abnormally high pressure in your eye. Glaucoma is one of the leading causes of blindness for people over the age of 60. It can occur at any age but is more common in older adults. Many forms of glaucoma have no warning signs. The effect is so gradual that you may not notice a change in vision until the condition is at an advanced stage. Because vision loss due to glaucoma can't be recovered, it's important to have regular eye exams that include measurements of your eye pressure so a diagnosis can be made in its early stages and treated appropriately. If glaucoma is recognized early, vision loss can be slowed or prevented. If you have the condition, you'll generally need treatment for the rest of your life.","Prostaglandins. These increase the outflow of the fluid in your eye (aqueous humor), thereby reducing your eye pressure. Medicines in this category include latanoprost (Xalatan), travoprost (Travatan Z), tafluprost (Zioptan), bimatoprost (Lumigan) and latanoprostene bunod (Vyzulta).
Possible side effects include mild reddening and stinging of the eyes, darkening of the iris, darkening of the pigment of the eyelashes or eyelid skin, and blurred vision. This class of drug is prescribed for once-a-day use.
 
Beta blockers. These reduce the production of fluid in your eye, thereby lowering the pressure in your eye (intraocular pressure). Examples include timolol (Betimol, Istalol, Timoptic) and betaxolol (Betoptic).
Possible side effects include difficulty breathing, slowed heart rate, lower blood pressure, impotence and fatigue. This class of drug can be prescribed for once- or twice-daily use depending on your condition.
 
Alpha-adrenergic agonists. These reduce the production of aqueous humor and increase outflow of the fluid in your eye. Examples include apraclonidine (Iopidine) and brimonidine (Alphagan P, Qoliana).
Possible side effects include an irregular heart rate, high blood pressure, fatigue, red, itchy or swollen eyes, and dry mouth. This class of drug is usually prescribed for twice-daily use but sometimes can be prescribed for use three times a day.
 Carbonic anhydrase inhibitors. These medicines reduce the production of fluid in your eye. Examples include dorzolamide (Trusopt) and brinzolamide (Azopt). Possible side effects include a metallic taste, frequent urination, and tingling in the fingers and toes. This class of drug is usually prescribed for twice-daily use but sometimes can be prescribed for use three times a day. Rho kinase inhibitor. This medicine lowers eye pressure by suppressing the rho kinase enzymes responsible for fluid increase. It is available as netarsudil (Rhopressa) and is prescribed for once-a-day use. Possible side effects include eye redness, eye discomfort and deposits forming on the cornea. Miotic or cholinergic agents. These increase the outflow of fluid from your eye. An example is pilocarpine (Isopto Carpine). Side effects include headache, eye ache, smaller pupils, possible blurred or dim vision, and nearsightedness. This class of medicine is usually prescribed to be used up to four times a day. Because of potential side effects and the need for frequent daily use, these medications are not prescribed very often anymore.","Promptly go to an emergency room or an eye doctor's (ophthalmologist's) office if you experience some of the symptoms of acute angle-closure glaucoma, such as severe headache, eye pain and blurred vision."
Krabbe disease,"Krabbe (KRAH-buh) disease is an inherited disorder that destroys the protective coating (myelin) of nerve cells in the brain and throughout the nervous system. In most cases, signs and symptoms of Krabbe disease develop in babies before 6 months of age, and the disease usually results in death by age 2. When it develops in older children and adults, the course of the disease can vary greatly. There's no cure for Krabbe disease, and treatment focuses on supportive care. However, stem cell transplants have shown some success in infants who are treated before the onset of symptoms and in some older children and adults. Krabbe disease affects about 1 in 100,000 people in the United States. It is also known as globoid cell leukodystrophy.","Anticonvulsant medications to manage seizures Drugs to ease muscle spasticity and irritability Physical therapy to minimize deterioration of muscle tone Nutritional support, such as the use of a tube to deliver fluids and nutrients directly into the stomach (gastric tube) Physical therapy to minimize deterioration of muscle tone Occupational therapy to achieve as much independence as possible with daily activities","The early signs and symptoms of Krabbe disease in infancy can indicate any number of diseases or developmental problems. Therefore, it's important to get a prompt and accurate diagnosis if your child is having signs or symptoms of the disease. Signs and symptoms most often associated with older children and adults also are not specific to Krabbe disease and require a timely diagnosis."
Golfer's elbow,"Golfer's elbow is a condition that causes pain where the tendons of your forearm muscles attach to the bony bump on the inside of your elbow. The pain might spread into your forearm and wrist. Golfer's elbow is similar to tennis elbow, which occurs on the outside of the elbow. It's not limited to golfers. Tennis players and others who repeatedly use their wrists or clench their fingers also can develop golfer's elbow. The pain of golfer's elbow doesn't have to keep you off the course or away from your favorite activities. Rest and appropriate treatment can get you back into the swing of things.","Rest. Put your golf game or other repetitive activities on hold until the pain is gone. If you return to activity too soon, you can worsen your condition. Ice the affected area. Apply ice packs to your elbow for 15 to 20 minutes at a time, three to four times a day for several days. To protect your skin, wrap the ice packs in a thin towel. It might help to massage your inner elbow with ice for five minutes at a time, two to three times a day. Use a brace. Your doctor might recommend that you wear a counterforce brace on your affected arm, which might reduce tendon and muscle strain. Stretch and strengthen the affected area. Your doctor might suggest exercises for stretching and strengthening. Progressive loading of the tendon with specific strength training exercises has been shown to be especially effective. Other physical or occupational therapy practices can be helpful too.","Consult your doctor if rest, ice and over-the-counter pain relievers don't ease your elbow pain and tenderness. Seek immediate care if: 
Your elbow is hot and inflamed, and you have a fever
You can't bend your elbow
Your elbow looks deformed
You suspect you've broken a bone"
Grand mal seizure,"A grand mal seizure causes a loss of consciousness and violent muscle contractions. It's the type of seizure most people picture when they think about seizures. A grand mal seizure — also known as a generalized tonic-clonic seizure — is caused by abnormal electrical activity throughout the brain. Usually, a grand mal seizure is caused by epilepsy. But sometimes, this type of seizure can be triggered by other health problems, such as extremely low blood sugar, a high fever or a stroke. Many people who have a grand mal seizure never have another one and don't need treatment. But someone who has recurrent seizures may need treatment with daily anti-seizure medications to control and prevent future grand mal seizures.","Carbamazepine (Carbatrol, Tegretol, others)  Phenytoin (Dilantin, Phenytek) Valproic acid (Depakene) Oxcarbazepine (Oxtellar, Trileptal) Lamotrigine (Lamictal) Gabapentin (Gralise, Neurontin) Topiramate (Topamax) Phenobarbital Zonisamide (Zonegran) Fatigue Dizziness Weight gain Mood disruption Skin rashes Loss of coordination Speech problems Extreme fatigue","Seek immediate medical help if any of the following occurs: 
The seizure lasts more than five minutes
Breathing or consciousness doesn't return after the seizure stops
A second seizure follows immediately
You have a high fever
You're experiencing heat exhaustion.
You're pregnant.
You have diabetes.
You've injured yourself during the seizure.
 If you experience a seizure for the first time, seek medical advice. Additionally, seek medical advice for yourself or your child: 
If the number of seizures experienced increases significantly without explanation
If new seizure signs or symptoms appear"
Granulomatosis with polyangiitis,"Granulomatosis with polyangiitis is an uncommon disorder that causes inflammation of the blood vessels in your nose, sinuses, throat, lungs and kidneys. Formerly called Wegener's granulomatosis, this condition is one of a group of blood vessel disorders called vasculitis. It slows blood flow to some of your organs. The affected tissues can develop areas of inflammation called granulomas, which can affect how these organs work. Early diagnosis and treatment of granulomatosis with polyangiitis might lead to a full recovery. Without treatment, the condition can be fatal.",Kidney transplant,"See your doctor if you have a runny nose that doesn't respond to over-the-counter cold medicines, especially if it's accompanied by nosebleeds and pus-like material, coughing up blood, or other warning signs of granulomatosis with polyangiitis. Because this disease can worsen quickly, early diagnosis is key to getting effective treatment."
Graves' disease,"Your thyroid gland is located at the base of your neck, just below the Adam's apple. Your thyroid gland is located at the base of your neck, just below the Adam's apple. Graves' disease is an immune system disorder that results in the overproduction of thyroid hormones (hyperthyroidism). Although a number of disorders may result in hyperthyroidism, Graves' disease is a common cause. Thyroid hormones affect many body systems, so signs and symptoms of Graves' disease can be wide ranging. Although Graves' disease may affect anyone, it's more common among women and in people younger than age 40. The primary treatment goals are to reduce the amount of thyroid hormones that the body produces and lessen the severity of symptoms.","Propranolol (Inderal, InnoPran XL) Atenolol (Tenormin) Metoprolol (Lopressor, Toprol-XL) Nadolol (Corgard)","A number of medical conditions can cause the signs and symptoms associated with Graves' disease. See your doctor if you experience any potential problems related to Graves' disease to get a prompt and accurate diagnosis. Seek emergency care if you're experiencing heart-related signs and symptoms, such as a rapid or irregular heartbeat, or if you develop vision loss."
Helicobacter pylori (H. pylori) infection,"Helicobacter pylori (H. pylori) infection occurs when H. pylori bacteria infect your stomach. This usually happens during childhood. A common cause of peptic ulcers, H. pylori infection may be present in more than half the people in the world. Most people don't realize they have H. pylori infection, because they never get sick from it. If you develop signs and symptoms of a peptic ulcer, your doctor will probably test you for H. pylori infection. If you have H. pylori infection, it can be treated with antibiotics.","Proton pump inhibitors (PPIs). These drugs stop acid from being produced in the stomach. Some examples of PPIs are omeprazole (Prilosec), esomeprazole (Nexium), lansoprazole (Prevacid) and pantoprazole (Protonix). Histamine (H-2) blockers. These medications block a substance called histamine, which triggers acid production. One example is cimetidine (Tagamet HB). Bismuth subsalicylate. More commonly known by the brand name Pepto-Bismol, this drug works by coating the ulcer and protecting it from stomach acid.","Make an appointment with your doctor if you notice any persistent signs and symptoms that worry you. Seek immediate medical help if you experience: 
Severe or persistent abdominal pain
Difficulty swallowing
Bloody or black tarry stools
Bloody or black vomit or vomit that looks like coffee grounds"
Hamstring injury,"A hamstring injury occurs when you strain or pull one of your hamstring muscles — the group of three muscles that run along the back of your thigh. You may be more likely to get a hamstring injury if you play soccer, basketball, football, tennis or a similar sport that involves sprinting with sudden stops and starts. Hamstring injury can occur in runners and in dancers as well. Self-care measures such as rest, ice and over-the-counter pain medications are often all you need to relieve the pain and swelling associated with a hamstring injury. Rarely, surgery may be needed to repair a hamstring muscle or tendon.","Take a break from strenuous activities to allow the injury to heal. Use a cane or crutches to avoiding putting your full weight on your injured leg. Apply ice packs several times a day to relieve pain and reduce swelling. Wrap the injured area with a compression bandage or wear compression shorts to minimize swelling. Rest with your leg elevated above the level of your heart, if possible, to improve drainage and minimize swelling. Take an over-the-counter pain medication, such as ibuprofen (Advil, Motrin IB, others) or acetaminophen (Tylenol, others), to reduce pain and inflammation.",Mild hamstring strains can be treated at home. But you should see a doctor if you can't bear any weight on your injured leg or if you can't walk more than four steps without significant pain.
